playerId,total_runs,number_of_balls
1,5426,4111
2,5386,3916
3,4902,3742
4,4717,3292
5,4601,3665
6,4525,2972
7,4450,3206
8,4420,3381
9,4414,2902
10,4219,3400
11,3834,3133
12,3669,2813
13,3590,2566
14,3313,2616
15,3222,2240
16,2886,2185
17,2864,2352
18,2855,2352
19,2772,1879
20,2755,2121
21,2728,1746
22,2589,2104
23,2489,1866
24,2427,2219
25,2385,1758
26,2334,1943
27,2215,1693
28,2174,1877
29,2069,1492
30,2038,1570
31,2031,1633
32,1988,1428
33,1977,1608
34,1931,1567
35,1861,1459
36,1858,1327
37,1808,1460
38,1767,1340
39,1767,1071
40,1741,1332
41,1696,1446
42,1695,1321
43,1687,1387
44,1555,1308
45,1535,1227
46,1494,1155
47,1478,1109
48,1465,1137
49,1441,1210
50,1415,752
51,1401,864
52,1400,1117
53,1396,919
54,1349,1261
55,1322,1069
56,1309,964
57,1288,909
58,1276,1064
59,1269,988
60,1153,1006
61,1150,948
62,1107,802
63,1093,808
64,1087,851
65,1082,689
66,1079,851
67,1017,818
68,1013,767
69,1001,740
70,995,746
71,985,834
72,975,682
73,974,748
74,971,760
75,969,756
76,897,609
77,886,802
78,880,683
79,854,702
80,831,597
81,800,628
82,798,697
83,785,458
84,768,531
85,761,553
86,750,588
87,739,666
88,724,573
89,701,531
90,676,573
91,672,574
92,663,543
93,641,481
94,608,465
95,604,456
96,604,423
97,584,519
98,577,407
99,563,416
100,538,423
101,531,452
102,527,387
103,526,413
104,519,327
105,514,469
106,510,377
107,506,386
108,505,415
109,476,362
110,459,284
111,448,373
112,443,342
113,437,327
114,424,305
115,423,339
116,417,305
117,412,285
118,409,358
119,405,346
120,401,356
121,394,308
122,390,391
123,388,302
124,376,336
125,375,317
126,368,290
127,366,385
128,365,288
129,342,284
130,340,314
131,339,273
132,337,250
133,327,300
134,326,234
135,317,270
136,310,271
137,304,260
138,304,223
139,302,177
140,302,244
141,300,300
142,295,290
143,295,241
144,285,257
145,282,266
146,280,312
147,280,191
148,280,250
149,278,193
150,271,196
151,270,231
152,259,249
153,241,184
154,239,141
155,237,208
156,225,196
157,218,230
158,217,210
159,205,148
160,203,156
161,198,213
162,196,165
163,194,167
164,193,141
165,193,161
166,192,178
167,187,121
168,184,154
169,184,189
170,183,172
171,183,135
172,182,110
173,181,142
174,179,152
175,178,141
176,177,122
177,170,135
178,170,106
179,169,148
180,168,161
181,167,132
182,166,157
183,164,160
184,161,126
185,161,171
186,160,108
187,159,141
188,159,169
189,153,135
190,150,118
191,147,111
192,145,108
193,145,83
194,142,91
195,142,144
196,137,101
197,136,110
198,131,133
199,130,121
